"effect","model","estimand","adjusted","adjusted_se","condition","descriptive","descriptive_min","descriptive_max","n_classes"
"egoX_gender_m_fd","model_1","dynamic",-0.00268199838029522,0.00261066229098479,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_1","static",-0.00253515964820163,0.00227520447927187,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_2","accumulated",-0.0275686343193464,0.0119507134421002,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_2","dynamic",-0.00447743658597216,0.00228792796669442,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_2","static",-0.00316014848116644,0.00185186346131048,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_3","accumulated",-0.0145238261881908,0.0120198670574709,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_3","dynamic",-0.00233903826981004,0.00215641641499621,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_3","static",-0.00203570093157194,0.00186132878877189,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_4","accumulated",-0.0153362770336055,0.0130731563290034,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_4","dynamic",-0.00297174378591503,0.00255663062893106,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_4","static",-0.00261878682644021,0.00214727100676698,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_5","accumulated",-0.0156176738608386,0.0107119709347764,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_5","dynamic",-0.00312656989290053,0.00228003620680464,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoX_gender_m_fd","model_5","static",-0.00254622186187597,0.00186574223756594,"ego is male",-0.00561985250540268,-0.0943043884220355,0.076140350877193,17
"egoXaltX_gender_m_sd","model_1","accumulated",0.414146773265558,0.0473490257346987,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_1","dynamic",0.0857454422615924,0.00761106819852922,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_1","static",0.0859878057595686,0.00790381513541935,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_2","accumulated",0.205807836325966,0.0442999536706794,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_2","dynamic",0.0366935054031449,0.00620091514085141,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_2","static",0.035272184879482,0.00614206508025907,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_3","accumulated",0.253127212612515,0.0434071380749448,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_3","dynamic",0.0437938144427022,0.00632593530581587,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_3","static",0.0428329292832737,0.00623950780875396,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_4","accumulated",0.344049326289907,0.0451593361740722,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_4","dynamic",0.0657163649635257,0.00733149637225854,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_4","static",0.0655807300902963,0.00746124088351121,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_5","accumulated",0.000215461764252077,0.000860531205433445,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_5","dynamic",7.41096947681897e-05,0.000270476280683413,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"egoXaltX_gender_m_sd","model_5","static",9.95285146402052e-05,0.000175759460820519,"both male",0.177031392571092,0.0329626155701461,0.339319428211813,17
"recip_fd","model_0","accumulated",0.385507476617045,0.0427192291308718,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_0","dynamic",0.0672589992649697,0.00744061626778168,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_0","static",0.0728035656985282,0.00700380570245337,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_2","accumulated",0.302129376310265,0.0407071331222364,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_2","dynamic",0.0510500559091308,0.00641370096454128,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_2","static",0.0565283356924907,0.00614120625466043,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_3","accumulated",0.222935463114358,0.0250438508528784,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_3","dynamic",0.0395053385060394,0.00418643293359259,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_3","static",0.0417759921530387,0.00413718780094291,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_4","accumulated",0.238982288251683,0.0276994067449791,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_4","dynamic",0.0461885044408697,0.00504771875555701,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"recip_fd","model_4","static",0.0477451708102704,0.00479620574796485,"j nominates i at t1",0.46182441131379,0.340694702388614,0.577421539850982,17
"transTrip1_fd","model_0","accumulated",0.108200392915445,0.00959123124260631,"one more two-path at t1",0.168540713911452,0.101410988015232,0.248055282588914,17
"transTrip1_fd","model_0","dynamic",0.0192278116831401,0.00112641929521219,"one more two-path at t1",0.168540713911452,0.101410988015232,0.248055282588914,17
"transTrip1_fd","model_0","static",0.0192689097642467,0.00142314843204728,"one more two-path at t1",0.168540713911452,0.101410988015232,0.248055282588914,17
"transTrip1_fd","model_2","accumulated",0.10474237419287,0.00795979315901128,"one more two-path at t1",0.168540713911452,0.101410988015232,0.248055282588914,17
"transTrip1_fd","model_2","dynamic",0.0176955164756476,0.00117321087950715,"one more two-path at t1",0.168540713911452,0.101410988015232,0.248055282588914,17
"transTrip1_fd","model_2","static",0.0175653222425059,0.00122365791809098,"one more two-path at t1",0.168540713911452,0.101410988015232,0.248055282588914,17
"transTrip1_fd","model_3","accumulated",0.093945946690001,0.00753143926900697,"one more two-path at t1",0.168540713911452,0.101410988015232,0.248055282588914,17
"transTrip1_fd","model_3","dynamic",0.0161975221919021,0.00109823939224969,"one more two-path at t1",0.168540713911452,0.101410988015232,0.248055282588914,17
"transTrip1_fd","model_3","static",0.016743347732088,0.00115641226859849,"one more two-path at t1",0.168540713911452,0.101410988015232,0.248055282588914,17
"X_primary","model_1","accumulated",0.142887839739809,0.0231079214059146,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_1","dynamic",0.0300785900904486,0.00433747281431351,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_1","static",0.031101032748709,0.00445106085322759,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_2","accumulated",0.10376822051557,0.0175696477268293,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_2","dynamic",0.019647766551954,0.00301492036105394,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_2","static",0.0202809251470808,0.00301845334799204,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_3","accumulated",0.109572085678821,0.0185256560619172,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_3","dynamic",0.0197890383449781,0.00308749661965117,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_3","static",0.0205625535124264,0.00317291600399472,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_4","accumulated",0.106442013896117,0.0191402908695242,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_4","dynamic",0.0214221223679712,0.00331196022147815,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_4","static",0.0220223829011696,0.00336598304951977,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_5","accumulated",0.0908611398496409,0.0202213160036025,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_5","dynamic",0.019553377115832,0.00371579871788574,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
"X_primary","model_5","static",0.0199385075391066,0.00379694327862457,"primary-school friend",0.341911324587141,0.142918606015567,0.591512915129151,17
