"est","se","ci_low","ci_high","effect","model","class_id","pval","tau2","QEp","k","method","estimand","context"
0.0543202312434469,0.0089104109582055,0.0368561466779131,0.0717843158089807,"X_primary","model_5","Summary",1.08575004138333e-09,0.000480896239862852,0.0715954328688076,17,"REML","dynamic","maintenance"
-0.0108278579580949,0.0102902209598679,-0.0309963204323951,0.00934060451620526,"egoX_gender_m_fd","model_1","Summary",0.292686070591866,0.00075023134746575,0.0186485850121348,17,"REML","dynamic","maintenance"
-0.0211492022109299,0.00978719705897849,-0.0403317559561241,-0.0019666484657357,"egoX_gender_m_fd","model_2","Summary",0.0307026853077866,0.000418893167652306,0.22995171207591,17,"REML","dynamic","maintenance"
-0.0126548068206065,0.00957686878365633,-0.0314251247212388,0.00611551108002583,"egoX_gender_m_fd","model_3","Summary",0.186370378078208,0.000385107857151715,0.174698216276572,17,"REML","dynamic","maintenance"
-0.012900285030661,0.00999896522726818,-0.0324978967587749,0.00669732669745302,"egoX_gender_m_fd","model_4","Summary",0.196994414935035,0.000673083316420653,0.0280099447661141,17,"REML","dynamic","maintenance"
-0.0126242964450386,0.00892028541327938,-0.0301077345868842,0.00485914169680696,"egoX_gender_m_fd","model_5","Summary",0.156999726710285,0.000396314833621401,0.110881769658938,17,"REML","dynamic","maintenance"
0.0106352416319753,0.0181819789279825,-0.0250007822345366,0.0462712654984872,"altX_gender_m_fd","model_1","Summary",0.558592688781651,0.0016658020710903,0.0863814472088682,17,"REML","dynamic","maintenance"
-0.00157662836158853,0.0104179225928054,-0.0219953814372133,0.0188421247140362,"altX_gender_m_fd","model_2","Summary",0.879709034825137,0.000182699228469531,0.176781805965874,17,"REML","dynamic","maintenance"
0.00438965208841835,0.0131985935184096,-0.0214791158542483,0.030258420031085,"altX_gender_m_fd","model_3","Summary",0.739447689889306,0.000972944915861771,0.0677397362234075,17,"REML","dynamic","maintenance"
0.00911510387575711,0.0152832830794587,-0.0208395805255123,0.0390697882770265,"altX_gender_m_fd","model_4","Summary",0.550901317304995,0.00116452122397462,0.0773767465413494,17,"REML","dynamic","maintenance"
-0.000449460798146341,0.00982209786616222,-0.019700418868452,0.0188014972721593,"altX_gender_m_fd","model_5","Summary",0.963501410947172,0.000798982353950503,0.00500028390426428,17,"REML","dynamic","maintenance"
0.287797462853374,0.0335371204635882,0.22206591459956,0.353529011107189,"egoXaltX_gender_m_sd","model_1","Summary",9.36763396545867e-18,0.0082168101711637,0.00896289732266821,17,"REML","dynamic","maintenance"
0.12465245047418,0.0248064239282409,0.0760327529895948,0.173272147958764,"egoXaltX_gender_m_sd","model_2","Summary",5.03414534695958e-07,0.00195684063244003,0.191236910997876,17,"REML","dynamic","maintenance"
0.155633687377899,0.0265480969148138,0.103600373566785,0.207667001189013,"egoXaltX_gender_m_sd","model_3","Summary",4.56418623374847e-09,0.00358677841420475,0.0866168887636419,17,"REML","dynamic","maintenance"
0.201445177615804,0.0275012356979273,0.147543746117519,0.255346609114089,"egoXaltX_gender_m_sd","model_4","Summary",2.38987725019073e-13,0.00436497799527035,0.0400991937153171,17,"REML","dynamic","maintenance"
-0.000202862423535933,0.000718461459412283,-0.00161102100826409,0.00120529616119223,"egoXaltX_gender_m_sd","model_5","Summary",0.777669995184435,0,0.874055814810782,17,"REML","dynamic","maintenance"
0.31790171389299,0.0367117063427756,0.245948091650139,0.389855336135841,"recip_fd","model_0","Summary",4.74212633221666e-18,0.00494268941841081,0.408905667579941,17,"REML","accumulated","creation"
0.243576160122261,0.0354658309680601,0.174064408743078,0.313087911501445,"recip_fd","model_2","Summary",6.51489777779805e-12,0.00279210387067405,0.526818765351918,17,"REML","accumulated","creation"
0.174378650418032,0.0201305360633569,0.134923524744368,0.213833776091697,"recip_fd","model_3","Summary",4.61955341673054e-18,0.00216026703038875,0.0428514462697072,17,"REML","accumulated","creation"
0.182886483383897,0.0217720914493764,0.140213968275007,0.225558998492787,"recip_fd","model_4","Summary",4.46318840381603e-17,0.00321236803256458,0.0172355523041656,17,"REML","accumulated","creation"
0.0915482703415892,0.00932554772489849,0.0732705326646787,0.1098260080185,"transTrip1_fd","model_0","Summary",9.5196440752999e-23,0.000641271516572469,0.0149503494706311,17,"REML","accumulated","creation"
0.0875864360879773,0.00800017123491913,0.0719063885973825,0.103266483578572,"transTrip1_fd","model_2","Summary",6.78783458501004e-28,0.000146764676509848,0.303369381107715,17,"REML","accumulated","creation"
0.0717248385947261,0.00670322778154807,0.0585867535627236,0.0848629236267287,"transTrip1_fd","model_3","Summary",1.01728853195188e-26,0.000151910004889807,0.175609325490812,17,"REML","accumulated","creation"
-0.0162066135928644,0.037551507657703,-0.0898062161671422,0.0573929889814135,"interaction_sd","model_0","Summary",0.6660441046144,0,0.996044026491445,17,"REML","accumulated","creation"
-0.0245534307598446,0.0366739724297,-0.0964330958920714,0.0473262343723823,"interaction_sd","model_2","Summary",0.503172994991379,0,0.995432616204886,17,"REML","accumulated","creation"
0.104459272482633,0.0194810063400549,0.0662772016735292,0.142641343291737,"X_primary","model_1","Summary",8.22560398204417e-08,0.00197681294222091,0.0938176986860096,17,"REML","accumulated","creation"
0.072489283038699,0.0135398440881066,0.0459516762697226,0.0990268898076755,"X_primary","model_2","Summary",8.61378100873339e-08,0,0.552269556605865,17,"REML","accumulated","creation"
0.0753812650763395,0.0143600753020124,0.047236034669112,0.103526495483567,"X_primary","model_3","Summary",1.52625070929537e-07,0,0.65221909015258,17,"REML","accumulated","creation"
0.072890485735414,0.015508502741975,0.0424943789070023,0.103286592563826,"X_primary","model_4","Summary",2.60118544183148e-06,0.000626750788640011,0.323281941211461,17,"REML","accumulated","creation"
0.0576347379282237,0.0144242852547223,0.0293636583262357,0.0859058175302116,"X_primary","model_5","Summary",6.45105238838138e-05,0.00062892343087613,0.127196356527451,17,"REML","accumulated","creation"
