"effect","model","estimand","est_cr","se_cr","est_mt","se_mt","diff","diff_se"
"egoXaltX_gender_m_sd","model_3","dynamic",0.0261314217377677,0.00300177830557568,0.155633687377899,0.0265480969148138,-0.129502265640131,0.0267172626366208
"egoXaltX_gender_m_sd","model_3","static",0.0274002976635511,0.00320313076336843,0.135462937642748,0.0221879359760414,-0.108062639979196,0.0224179515024042
"egoXaltX_gender_m_sd","model_4","accumulated",0.199430047280739,0.0241270277546795,1.06035558762139,0.148220219299876,-0.860925540340649,0.15017105872164
"egoXaltX_gender_m_sd","model_4","dynamic",0.0378686303879576,0.00373111250910657,0.201445177615804,0.0275012356979273,-0.163576547227846,0.0277531829790488
"egoXaltX_gender_m_sd","model_4","static",0.0398723282374169,0.00391581825339424,0.183598451215883,0.0244689513442613,-0.143726122978466,0.0247802988779684
"egoXaltX_gender_m_sd","model_5","accumulated",0.000780571445775272,0.00135068527865106,-0.00183900085996275,0.0051297395425611,0.00261957230573803,0.0053045808973452
"egoXaltX_gender_m_sd","model_5","dynamic",6.73384819459909e-05,0.000163353526119376,-0.000202862423535933,0.000718461459412283,0.000270200905481924,0.000736797966308581
"egoXaltX_gender_m_sd","model_5","static",7.3964257811239e-05,0.000155628226443055,-0.000395478950626168,0.000792340199911289,0.000469443208437407,0.0008074794964959
"interaction_sd","model_0","accumulated",-0.0162066135928644,0.037551507657703,-0.494651212692384,0.051538723142022,0.47844459909952,0.0637679834280222
"interaction_sd","model_0","dynamic",-0.00327058570308501,0.00635920522460657,-0.0922814824031516,0.00975913379789798,0.0890108967000666,0.0116481837027898
"interaction_sd","model_0","static",-0.0015645018089869,0.00621696981669963,-0.0875141034643563,0.00900270239678751,0.0859496016553694,0.0109407204583098
"interaction_sd","model_2","accumulated",-0.0245534307598446,0.0366739724297,-0.458217845821305,0.0594203683846734,0.43366441506146,0.0698266455784946
"interaction_sd","model_2","dynamic",-0.00479903979006231,0.00625849410918835,-0.0889167307414362,0.0106711443551793,0.0841176909513739,0.0123710173536302
"interaction_sd","model_2","static",-0.00378030911086066,0.00607067256815005,-0.0838670800363339,0.0108741154910013,0.0800867709254732,0.0124538930917735
"recip_fd","model_0","accumulated",0.31790171389299,0.0367117063427756,1.01229222822207,0.0874821457289375,-0.69439051432908,0.0948729424226805
"recip_fd","model_0","dynamic",0.0526635469999618,0.00669067855505572,0.195014033128552,0.0160850563572218,-0.14235048612859,0.0174210854295042
"recip_fd","model_0","static",0.0592624754968669,0.00639701228850668,0.172632673824793,0.014918337001534,-0.113370198327926,0.0162320222126094
